"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",2,"0.0 - 61.8 (645)"
02016,"""Aleutians West, (AK)""",0,"0.0 - 61.8 (645)"
02020,"""Anchorage, (AK)""",63.7,"61.9 - 70.5 (645)"
02050,"""Bethel, (AK)""",105.5,"88.5 - 173.8 (642)"
02060,"""Bristol Bay, (AK)""",-1,
02068,"""Denali, (AK)""",58,"0.0 - 61.8 (645)"
02070,"""Dillingham, (AK)""",136.8,"88.5 - 173.8 (642)"
02090,"""Fairbanks North Star, (AK)""",109.3,"88.5 - 173.8 (642)"
02100,"""Haines, (AK)""",61.3,"0.0 - 61.8 (645)"
02105,"""Hoonah-Angoon, (AK)""",65.9,"61.9 - 70.5 (645)"
02110,"""Juneau, (AK)""",63.4,"61.9 - 70.5 (645)"
02122,"""Kenai Peninsula, (AK)""",64.6,"61.9 - 70.5 (645)"
02130,"""Ketchikan Gateway, (AK)""",62.3,"61.9 - 70.5 (645)"
02150,"""Kodiak Island, (AK)""",36.3,"0.0 - 61.8 (645)"
02164,"""Lake and Peninsula, (AK)""",99.5,"88.5 - 173.8 (642)"
02170,"""Matanuska-Susitna, (AK)""",60.9,"0.0 - 61.8 (645)"
02180,"""Nome, (AK)""",70.1,"61.9 - 70.5 (645)"
02185,"""North Slope, (AK)""",91.2,"88.5 - 173.8 (642)"
02188,"""Northwest Arctic, (AK)""",85.5,"78.0 - 88.4 (638)"
02195,"""Petersburg, (AK)""",73.4,"70.6 - 77.9 (646)"
02198,"""Prince of Wales-Hyder, (AK)""",72.7,"70.6 - 77.9 (646)"
02220,"""Sitka, (AK)""",63.8,"61.9 - 70.5 (645)"
02230,"""Skagway, (AK)""",-1,
02240,"""Southeast Fairbanks, (AK)""",76.2,"70.6 - 77.9 (646)"
02261,"""Valdez-Cordova, (AK)""",63.8,"61.9 - 70.5 (645)"
02158,"""Kusilvak, (AK)""",29.4,"0.0 - 61.8 (645)"
02275,"""Wrangell, (AK)""",59.3,"0.0 - 61.8 (645)"
02282,"""Yakutat, (AK)""",-1,
02290,"""Yukon-Koyukuk, (AK)""",66.2,"61.9 - 70.5 (645)"
06001,"""Alameda, (CA)""",79.1,"78.0 - 88.4 (638)"
06005,"""Amador, (CA)""",70.2,"61.9 - 70.5 (645)"
06007,"""Butte, (CA)""",83.1,"78.0 - 88.4 (638)"
06009,"""Calaveras, (CA)""",65.9,"61.9 - 70.5 (645)"
06011,"""Colusa, (CA)""",77,"70.6 - 77.9 (646)"
06013,"""Contra Costa, (CA)""",83,"78.0 - 88.4 (638)"
06015,"""Del Norte, (CA)""",88.6,"88.5 - 173.8 (642)"
06017,"""El Dorado, (CA)""",55.8,"0.0 - 61.8 (645)"
06021,"""Glenn, (CA)""",82.7,"78.0 - 88.4 (638)"
06023,"""Humboldt, (CA)""",166.6,"88.5 - 173.8 (642)"
06031,"""Kings, (CA)""",77.7,"70.6 - 77.9 (646)"
06033,"""Lake, (CA)""",71.5,"70.6 - 77.9 (646)"
06035,"""Lassen, (CA)""",73.5,"70.6 - 77.9 (646)"
06041,"""Marin, (CA)""",47.1,"0.0 - 61.8 (645)"
06043,"""Mariposa, (CA)""",74.7,"70.6 - 77.9 (646)"
06045,"""Mendocino, (CA)""",66.6,"61.9 - 70.5 (645)"
06047,"""Merced, (CA)""",75.7,"70.6 - 77.9 (646)"
06049,"""Modoc, (CA)""",76.3,"70.6 - 77.9 (646)"
06053,"""Monterey, (CA)""",62.2,"61.9 - 70.5 (645)"
06055,"""Napa, (CA)""",63.6,"61.9 - 70.5 (645)"
06057,"""Nevada, (CA)""",68.7,"61.9 - 70.5 (645)"
06061,"""Placer, (CA)""",71.9,"70.6 - 77.9 (646)"
06063,"""Plumas, (CA)""",69.3,"61.9 - 70.5 (645)"
06067,"""Sacramento, (CA)""",83.8,"78.0 - 88.4 (638)"
06069,"""San Benito, (CA)""",71.8,"70.6 - 77.9 (646)"
06075,"""San Francisco, (CA)""",64.9,"61.9 - 70.5 (645)"
06077,"""San Joaquin, (CA)""",99.9,"88.5 - 173.8 (642)"
06079,"""San Luis Obispo, (CA)""",106.5,"88.5 - 173.8 (642)"
06081,"""San Mateo, (CA)""",59.2,"0.0 - 61.8 (645)"
06083,"""Santa Barbara, (CA)""",63.4,"61.9 - 70.5 (645)"
06085,"""Santa Clara, (CA)""",59.7,"0.0 - 61.8 (645)"
06087,"""Santa Cruz, (CA)""",59.6,"0.0 - 61.8 (645)"
06089,"""Shasta, (CA)""",69.1,"61.9 - 70.5 (645)"
06091,"""Sierra, (CA)""",74.6,"70.6 - 77.9 (646)"
06093,"""Siskiyou, (CA)""",78.7,"78.0 - 88.4 (638)"
06095,"""Solano, (CA)""",87.6,"78.0 - 88.4 (638)"
06097,"""Sonoma, (CA)""",67.6,"61.9 - 70.5 (645)"
06099,"""Stanislaus, (CA)""",80.2,"78.0 - 88.4 (638)"
06101,"""Sutter, (CA)""",88.6,"88.5 - 173.8 (642)"
06103,"""Tehama, (CA)""",67.2,"61.9 - 70.5 (645)"
06105,"""Trinity, (CA)""",77.8,"70.6 - 77.9 (646)"
06109,"""Tuolumne, (CA)""",65.8,"61.9 - 70.5 (645)"
06113,"""Yolo, (CA)""",72.5,"70.6 - 77.9 (646)"
06115,"""Yuba, (CA)""",87.2,"78.0 - 88.4 (638)"
15001,"""Hawaii, (HI)""",71.8,"70.6 - 77.9 (646)"
15003,"""Honolulu, (HI)""",71.8,"70.6 - 77.9 (646)"
15005,"""Kalawao, (HI)""",66.2,"61.9 - 70.5 (645)"
15007,"""Kauai, (HI)""",71.8,"70.6 - 77.9 (646)"
15009,"""Maui, (HI)""",71.8,"70.6 - 77.9 (646)"
41003,"""Benton, (OR)""",76.5,"70.6 - 77.9 (646)"
41005,"""Clackamas, (OR)""",77.1,"70.6 - 77.9 (646)"
41007,"""Clatsop, (OR)""",70,"61.9 - 70.5 (645)"
41009,"""Columbia, (OR)""",74.5,"70.6 - 77.9 (646)"
41011,"""Coos, (OR)""",76,"70.6 - 77.9 (646)"
41013,"""Crook, (OR)""",129.8,"88.5 - 173.8 (642)"
41015,"""Curry, (OR)""",76.7,"70.6 - 77.9 (646)"
41017,"""Deschutes, (OR)""",66.1,"61.9 - 70.5 (645)"
